bag_time_ns,bag_time_sec,header.stamp.sec,header.stamp.nanosec,header.frame_id,raw_count,voltage_mv,force_n
1780471467926548568,1780471467.926548481,1780471467,925891285,load_cell,896,0.0041321357285429225,1.1696836606786452
1780471467936381353,1780471467.936381340,1780471467,935893742,load_cell,1079,0.0050321357285429205,1.424446660678644
1780471467946405348,1780471467.946405411,1780471467,945877287,load_cell,-1194,-0.005567864271457078,-1.5760953393213555
1780471467956694989,1780471467.956695080,1780471467,955891234,load_cell,2117,0.009832135728542923,2.7831826606786425
1780471467966625891,1780471467.966625929,1780471467,965902396,load_cell,634,0.0029321357285429193,0.8299996606786433
1780471467976560313,1780471467.976560354,1780471467,975891477,load_cell,2752,0.012832135728542922,3.6323926606786454
1780471467986720828,1780471467.986720800,1780471467,985971251,load_cell,3455,0.01613213572854292,4.566523660678643
1780471467996408645,1780471467.996408701,1780471467,995890569,load_cell,2594,0.01203213572854292,3.405936660678643
1780471468006503172,1780471468.006503105,1780471468,5892131,load_cell,3806,0.017732135728542923,5.019435660678644
1780471468017140640,1780471468.017140627,1780471468,15913246,load_cell,2012,0.009332135728542922,2.641647660678645
1780471468026842410,1780471468.026842356,1780471468,25883350,load_cell,940,0.004332135728542921,1.2262976606786449
1780471468036932328,1780471468.036932230,1780471468,35895792,load_cell,1384,0.0064321357285429225,1.8207446606786437
1780471468046619377,1780471468.046619415,1780471468,45886858,load_cell,1054,0.004932135728542921,1.396139660678644
1780471468056494628,1780471468.056494713,1780471468,55892996,load_cell,837,0.00393213572854292,1.1130696606786437
1780471468066405081,1780471468.066405058,1780471468,65886174,load_cell,-2631,-0.012267864271457082,-3.4726643393213568
1780471468076491928,1780471468.076491833,1780471468,75909401,load_cell,1466,0.00683213572854292,1.9339726606786432
1780471468086593239,1780471468.086593151,1780471468,85893586,load_cell,-1019,-0.004767864271457076,-1.3496393393213548
1780471468096348740,1780471468.096348763,1780471468,95906668,load_cell,1224,0.00573213572854292,1.622595660678643
1780471468106891643,1780471468.106891632,1780471468,105916231,load_cell,1662,0.0077321357285429215,2.1887356606786437
1780471468117611388,1780471468.117611408,1780471468,116003781,load_cell,1237,0.00573213572854292,1.622595660678643
1780471468126291471,1780471468.126291513,1780471468,125882841,load_cell,1952,0.00913213572854292,2.5850336606786417
1780471468136959948,1780471468.136960030,1780471468,135999033,load_cell,1592,0.00743213572854292,2.103814660678644
1780471468146794365,1780471468.146794319,1780471468,145907150,load_cell,2940,0.013732135728542922,3.887155660678646
1780471468156480998,1780471468.156481028,1780471468,155902471,load_cell,3464,0.01613213572854292,4.566523660678643
1780471468166453631,1780471468.166453600,1780471468,165884448,load_cell,3512,0.01633213572854292,4.623137660678646
1780471468176304497,1780471468.176304579,1780471468,175877562,load_cell,2608,0.012132135728542923,3.4342436606786446
1780471468186330732,1780471468.186330795,1780471468,185887604,load_cell,1709,0.00793213572854292,2.2453496606786434
1780471468196324965,1780471468.196325064,1780471468,195894030,load_cell,1542,0.007132135728542922,2.0188936606786445
1780471468206322079,1780471468.206322193,1780471468,205885864,load_cell,1332,0.00623213572854292,1.764130660678644
1780471468216670828,1780471468.216670752,1780471468,215888514,load_cell,-2712,-0.01266786427145708,-3.585892339321356
1780471468226672166,1780471468.226672173,1780471468,225912125,load_cell,-1736,-0.00806786427145708,-2.2837703393213555
1780471468236340334,1780471468.236340284,1780471468,235887093,load_cell,-2992,-0.013967864271457076,-3.9538833393213544
1780471468246120060,1780471468.246119976,1780471468,245884815,load_cell,1379,0.0064321357285429225,1.8207446606786437
1780471468256399813,1780471468.256399870,1780471468,255898442,load_cell,919,0.004232135728542922,1.1979906606786432
1780471468266297625,1780471468.266297579,1780471468,265878307,load_cell,2357,0.01093213572854292,3.0945596606786427
1780471468276360758,1780471468.276360750,1780471468,275900478,load_cell,2561,0.01193213572854292,3.377629660678645
1780471468286307053,1780471468.286307096,1780471468,285884407,load_cell,4409,0.02053213572854292,5.8120316606786435
1780471468296327048,1780471468.296327114,1780471468,295902929,load_cell,4801,0.02233213572854292,6.3215576606786446
1780471468306254206,1780471468.306254148,1780471468,305888107,load_cell,4832,0.022532135728542922,6.378171660678644
1780471468316235543,1780471468.316235542,1780471468,315887748,load_cell,6058,0.028232135728542922,7.991670660678645
1780471468326268659,1780471468.326268673,1780471468,325881054,load_cell,4937,0.023032135728542923,6.519706660678645
1780471468336435158,1780471468.336435080,1780471468,335899705,load_cell,4351,0.02023213572854292,5.727110660678642
1780471468346676252,1780471468.346676350,1780471468,345890290,load_cell,3010,0.014032135728542922,3.9720766606786437
1780471468356469323,1780471468.356469393,1780471468,355897644,load_cell,2185,0.010132135728542921,2.868103660678644
1780471468368687932,1780471468.368687868,1780471468,366145556,load_cell,1277,0.005932135728542922,1.6792096606786444
1780471468376327543,1780471468.376327515,1780471468,375899264,load_cell,1212,0.00563213572854292,1.5942886606786448
1780471468386259918,1780471468.386260033,1780471468,385898362,load_cell,-15,-6.786427145707985e-05,-0.019210339321356074
1780471468396286889,1780471468.396286964,1780471468,395887763,load_cell,1390,0.0064321357285429225,1.8207446606786437
1780471468406599348,1780471468.406599283,1780471468,405894542,load_cell,1985,0.00923213572854292,2.6133406606786433
1780471468416680210,1780471468.416680098,1780471468,415898024,load_cell,1985,0.00923213572854292,2.6133406606786433
1780471468426571654,1780471468.426571608,1780471468,425902210,load_cell,3717,0.01733213572854292,4.9062076606786444
1780471468436233037,1780471468.436233044,1780471468,435892283,load_cell,3367,0.01563213572854292,4.424988660678645
1780471468446210598,1780471468.446210623,1780471468,445903606,load_cell,4685,0.021832135728542923,6.1800226606786435
1780471468456188447,1780471468.456188440,1780471468,455898031,load_cell,4704,0.02193213572854292,6.208329660678645
1780471468466217370,1780471468.466217279,1780471468,465907850,load_cell,6764,0.03153213572854292,8.925801660678642
1780471468476224724,1780471468.476224661,1780471468,475896771,load_cell,6964,0.03243213572854292,9.180564660678643
1780471468486575617,1780471468.486575603,1780471468,485909085,load_cell,4676,0.02173213572854292,6.151715660678645
1780471468496477494,1780471468.496477604,1780471468,495882134,load_cell,3953,0.018432135728542923,5.217584660678645
1780471468506548500,1780471468.506548405,1780471468,505917682,load_cell,3953,0.018432135728542923,5.217584660678645
1780471468516340642,1780471468.516340733,1780471468,515893898,load_cell,1430,0.006632135728542921,1.8773586606786434
1780471468526229782,1780471468.526229858,1780471468,525906693,load_cell,120,0.00053213572854292,0.1506316606786431
