t,cmd_vx,odom_vx,force_n,encoder_rpm
24.68,0.5071268461975174,0.7736161834502159,-1.3923325430077815,0.0
24.7,0.506558869886741,0.7753729317251385,-2.6178058879579704,0.0
24.72,0.5060359633115534,0.7708589680783359,-8.51048096790205,0.0
24.740000000000002,0.5055505294924514,0.7791596857889247,-12.38817237725998,0.0
24.76,0.5051042742242081,0.8028150012808833,-9.042276485225466,0.0
24.78,0.5040405690505722,0.8044183042888896,-11.593765684414887,0.0
24.8,0.5030110181918163,0.7861819281727098,-4.652785630799562,0.0
24.82,0.5023983679268512,0.7668500590264363,-1.2125546295274632,0.0
24.84,0.5021830577698224,0.7594963087057929,-2.152345537463369,0.0
24.86,0.5020072346179676,0.7576070666642001,-0.5560341107551047,0.0
24.88,0.5018465845521621,0.7457657076550408,-6.027105060771966,0.0
24.900000000000002,0.5016160483493116,0.7484713166019216,-9.377620995452427,0.0
24.92,0.5010713049960804,0.7611640424799622,-6.24256529204589,0.0
24.94,0.5007406252446889,0.7584859259134691,1.4747726561386765,0.0
24.96,0.5006655945021327,0.7362726687895228,4.045292785615608,0.0
24.98,0.5006124760934002,0.7234792416893462,7.437845214787986,0.0
25.0,0.5005625868425829,0.7368138557182337,7.658765668028954,0.0
25.02,0.5005176322734094,0.7470262373085079,6.749228063484338,0.0
25.04,0.5004765416735498,0.7384363860458758,1.0960152498876252,0.0
25.060000000000002,0.500438231462661,0.7423435832789524,-2.86556068138273,0.0
25.080000000000002,0.500403493888379,0.7709929017192166,-1.4347059748608193,0.0
25.1,0.5003716273202486,0.7703245601859657,4.821286660678643,0.0
25.12,0.5003414075508091,0.764791105964728,1.9905866606786449,0.0
25.14,0.5003140465666278,0.7705240233861649,6.479487547407594,0.0
25.16,0.5002887980310149,0.7810528670038596,6.043365867530815,0.0
25.18,0.5002659362665798,0.8010140774335663,2.7896394247811815,0.0
25.2,0.5002445165753759,0.8116941652117918,-0.47562779350556444,0.0
25.22,0.5002249690197166,0.8337691184270165,-8.622940320899446,0.0
25.240000000000002,0.500206948550437,0.859741445778128,1.6509026606786446,0.0
25.26,0.5001902749522555,0.8655811344911616,2.6813443041054863,0.0
25.28,0.5001750696692716,0.828331758709665,5.274198660678644,0.0
25.3,0.5001612365324133,0.7893449370342743,6.093273860084713,0.0
25.32,0.5001482824090646,0.7957701213572088,7.182127909992211,0.0
25.34,0.5001363118141224,0.8069087494820079,5.763224918745829,0.0
25.36,0.5001255155626032,0.809856537254131,-0.43658689299191406,0.0
