bag_time_ns,bag_time_sec,stamp.sec,stamp.nanosec,level,name,msg,file,function,line
1780471515487908035,1780471515.487908125,1780471515,487614708,20,laica_velocity_predictor,Admittance force raw=-5.624 zeroed=-6.076 filtered=-5.011 eff=-0.011 adm_vx=-0.000 cmd_vx=0.500,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471516447365913,1780471516.447365999,1780471516,446955714,20,laica_velocity_predictor,Admittance force raw=-0.132 zeroed=-0.584 filtered=-3.295 eff=0.000 adm_vx=-0.000 cmd_vx=0.500,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471516488318696,1780471516.488318682,1780471516,487653540,20,laica_velocity_predictor,Admittance force raw=2.472 zeroed=2.020 filtered=-2.160 eff=0.000 adm_vx=-0.000 cmd_vx=0.500,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471517447548698,1780471517.447548628,1780471517,446992508,20,laica_velocity_predictor,Admittance force raw=9.662 zeroed=9.210 filtered=5.868 eff=0.868 adm_vx=0.006 cmd_vx=0.506,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471517508105362,1780471517.508105278,1780471517,507635929,20,laica_velocity_predictor,Admittance force raw=3.944 zeroed=3.492 filtered=4.204 eff=0.000 adm_vx=0.005 cmd_vx=0.505,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471518309246660,1780471518.309246778,1780471518,308779210,30,arduino_sensor_pub,Arduino parse errors: 1,/home/artemis/Documents/LAICA_ws/src/LAICA_enclc/src/arduino_sensor_pub.cpp,publishSensorData,339
1780471518447463542,1780471518.447463512,1780471518,447059072,20,laica_velocity_predictor,Admittance force raw=-14.031 zeroed=-14.483 filtered=-2.456 eff=0.000 adm_vx=0.005 cmd_vx=0.505,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471518508575213,1780471518.508575201,1780471518,507700350,20,laica_velocity_predictor,Admittance force raw=-6.134 zeroed=-6.585 filtered=-4.722 eff=0.000 adm_vx=0.004 cmd_vx=0.504,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471519447469057,1780471519.447468996,1780471519,447090828,20,laica_velocity_predictor,Admittance force raw=-11.172 zeroed=-11.624 filtered=-10.599 eff=-5.599 adm_vx=-0.073 cmd_vx=0.427,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471519508431664,1780471519.508431673,1780471519,507888947,20,laica_velocity_predictor,Admittance force raw=-7.039 zeroed=-7.491 filtered=-9.620 eff=-4.620 adm_vx=-0.070 cmd_vx=0.430,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471520447624669,1780471520.447624683,1780471520,447155108,20,laica_velocity_predictor,Admittance force raw=16.003 zeroed=15.551 filtered=-0.403 eff=0.000 adm_vx=-0.033 cmd_vx=0.467,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471520528124371,1780471520.528124332,1780471520,527820546,20,laica_velocity_predictor,Admittance force raw=7.850 zeroed=7.399 filtered=3.155 eff=0.000 adm_vx=-0.024 cmd_vx=0.476,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471521447735104,1780471521.447735071,1780471521,447222852,20,laica_velocity_predictor,Admittance force raw=-0.670 zeroed=-1.122 filtered=0.582 eff=0.000 adm_vx=0.015 cmd_vx=0.515,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471521529859407,1780471521.529859304,1780471521,527843073,20,laica_velocity_predictor,Admittance force raw=-11.540 zeroed=-11.992 filtered=-5.592 eff=-0.592 adm_vx=0.010 cmd_vx=0.510,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471522447863822,1780471522.447863817,1780471522,447281678,20,laica_velocity_predictor,Admittance force raw=-18.306 zeroed=-18.757 filtered=-14.086 eff=-9.086 adm_vx=-0.109 cmd_vx=0.391,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471522530892014,1780471522.530891895,1780471522,527923149,20,laica_velocity_predictor,Admittance force raw=-15.305 zeroed=-15.757 filtered=-15.154 eff=-10.154 adm_vx=-0.113 cmd_vx=0.387,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471523448115019,1780471523.448115110,1780471523,447340801,20,laica_velocity_predictor,Admittance force raw=-14.116 zeroed=-14.568 filtered=-13.194 eff=-8.194 adm_vx=-0.107 cmd_vx=0.393,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471523528604483,1780471523.528604507,1780471523,528082246,20,laica_velocity_predictor,Admittance force raw=-8.341 zeroed=-8.793 filtered=-11.790 eff=-6.790 adm_vx=-0.103 cmd_vx=0.397,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471524447728528,1780471524.447728634,1780471524,447363260,20,laica_velocity_predictor,Admittance force raw=-12.814 zeroed=-13.265 filtered=-13.414 eff=-8.414 adm_vx=-0.087 cmd_vx=0.413,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471524548647550,1780471524.548647642,1780471524,548237160,20,laica_velocity_predictor,Admittance force raw=-14.003 zeroed=-14.454 filtered=-12.826 eff=-7.826 adm_vx=-0.091 cmd_vx=0.409,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471525447976640,1780471525.447976589,1780471525,447448995,20,laica_velocity_predictor,Admittance force raw=-12.927 zeroed=-13.379 filtered=-12.380 eff=-7.380 adm_vx=-0.084 cmd_vx=0.416,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
1780471525568499961,1780471525.568500042,1780471525,568065986,20,laica_velocity_predictor,Admittance force raw=-8.398 zeroed=-8.850 filtered=-12.752 eff=-7.752 adm_vx=-0.090 cmd_vx=0.410,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,computeAdmittanceVelocity,665
