bag_time_ns,bag_time_sec,header.stamp.sec,header.stamp.nanosec,header.frame_id,angle_deg,rev,rpm
1780471663337008660,1780471663.337008715,1780471663,336544155,encoder,0.0,0.0,0
1780471663346810387,1780471663.346810341,1780471663,346537348,encoder,0.0,0.0,0
1780471663356881376,1780471663.356881380,1780471663,356527661,encoder,0.0,0.0,0
1780471663366883722,1780471663.366883755,1780471663,366566937,encoder,0.0,0.0,0
1780471663376883540,1780471663.376883507,1780471663,376537057,encoder,0.0,0.0,0
1780471663386986595,1780471663.386986494,1780471663,386563052,encoder,0.0,0.0,0
1780471663396864198,1780471663.396864176,1780471663,396537076,encoder,0.0,0.0,0
1780471663406889425,1780471663.406889439,1780471663,406556830,encoder,0.0,0.0,0
1780471663416891322,1780471663.416891336,1780471663,416544295,encoder,0.0,0.0,0
1780471663427042604,1780471663.427042723,1780471663,426562546,encoder,0.0,0.0,0
1780471663436884877,1780471663.436884880,1780471663,436534746,encoder,0.0,0.0,0
1780471663446878487,1780471663.446878433,1780471663,446537764,encoder,0.0,0.0,0
1780471663456859871,1780471663.456859827,1780471663,456547246,encoder,0.0,0.0,0
1780471663466846920,1780471663.466846943,1780471663,466544439,encoder,0.0,0.0,0
1780471663476827536,1780471663.476827621,1780471663,476527200,encoder,0.0,0.0,0
1780471663486961473,1780471663.486961365,1780471663,486587373,encoder,0.0,0.0,0
1780471663497121236,1780471663.497121334,1780471663,496561205,encoder,0.0,0.0,0
1780471663506884016,1780471663.506884098,1780471663,506554686,encoder,0.0,0.0,0
1780471663517009665,1780471663.517009735,1780471663,516564200,encoder,0.0,0.0,0
1780471663526820384,1780471663.526820421,1780471663,526538736,encoder,0.0,0.0,0
1780471663537065463,1780471663.537065506,1780471663,536569660,encoder,0.0,0.0,0
1780471663546923289,1780471663.546923399,1780471663,546546724,encoder,0.0,0.0,0
1780471663556930979,1780471663.556931019,1780471663,556554862,encoder,0.0,0.0,0
1780471663566856808,1780471663.566856861,1780471663,566553720,encoder,0.0,0.0,0
1780471663576939830,1780471663.576939821,1780471663,576548609,encoder,0.0,0.0,0
1780471663586970562,1780471663.586970568,1780471663,586571148,encoder,0.0,0.0,0
1780471663596945130,1780471663.596945047,1780471663,596540116,encoder,0.0,0.0,0
1780471663606807372,1780471663.606807470,1780471663,606553118,encoder,0.0,0.0,0
1780471663616935421,1780471663.616935492,1780471663,616546087,encoder,0.0,0.0,0
1780471663627024875,1780471663.627024889,1780471663,626582835,encoder,0.0,0.0,0
1780471663636902414,1780471663.636902332,1780471663,636551482,encoder,0.0,0.0,0
1780471663646932185,1780471663.646932125,1780471663,646576645,encoder,0.0,0.0,0
1780471663656851102,1780471663.656851053,1780471663,656550094,encoder,0.0,0.0,0
1780471663666882218,1780471663.666882277,1780471663,666554743,encoder,0.0,0.0,0
1780471663676976472,1780471663.676976442,1780471663,676567810,encoder,0.0,0.0,0
1780471663686833818,1780471663.686833858,1780471663,686554539,encoder,0.0,0.0,0
1780471663697147957,1780471663.697147846,1780471663,696583350,encoder,0.0,0.0,0
1780471663706813964,1780471663.706814051,1780471663,706556190,encoder,0.0,0.0,0
1780471663717025025,1780471663.717025042,1780471663,716578441,encoder,0.0,0.0,0
1780471663726891620,1780471663.726891518,1780471663,726561329,encoder,0.0,0.0,0
1780471663736907822,1780471663.736907721,1780471663,736567195,encoder,0.0,0.0,0
1780471663746867189,1780471663.746867180,1780471663,746560772,encoder,0.0,0.0,0
1780471663757045577,1780471663.757045507,1780471663,756580623,encoder,0.0,0.0,0
1780471663766977903,1780471663.766977787,1780471663,766577945,encoder,0.0,0.0,0
