bag_time_ns,bag_time_sec,header.stamp.sec,header.stamp.nanosec,header.frame_id,switch_1,switch_2
1780471545230586334,1780471545.230586290,1780471545,230093699,switch,False,False
1780471545240547197,1780471545.240547180,1780471545,240056035,switch,False,False
1780471545250878129,1780471545.250878096,1780471545,250334195,switch,False,False
1780471545260781165,1780471545.260781050,1780471545,260069542,switch,False,False
1780471545270664552,1780471545.270664454,1780471545,270052327,switch,False,False
1780471545280619111,1780471545.280619144,1780471545,280086410,switch,False,False
1780471545290559942,1780471545.290560007,1780471545,290058346,switch,False,False
1780471545300594121,1780471545.300594091,1780471545,300080045,switch,False,False
1780471545311159497,1780471545.311159611,1780471545,310112944,switch,False,False
1780471545320508071,1780471545.320508003,1780471545,320054767,switch,False,False
1780471545330612943,1780471545.330612898,1780471545,330089394,switch,False,False
1780471545340470792,1780471545.340470791,1780471545,340055826,switch,False,False
1780471545350537934,1780471545.350538015,1780471545,350085941,switch,False,False
1780471545360867073,1780471545.360867023,1780471545,360073270,switch,False,False
1780471545370638166,1780471545.370638132,1780471545,370081944,switch,False,False
1780471545380580469,1780471545.380580425,1780471545,380074105,switch,False,False
1780471545390561141,1780471545.390561104,1780471545,390061978,switch,False,False
1780471545400598905,1780471545.400599003,1780471545,400100701,switch,False,False
1780471545410904523,1780471545.410904408,1780471545,410071901,switch,False,False
1780471545420482517,1780471545.420482635,1780471545,420092992,switch,False,False
1780471545430480759,1780471545.430480719,1780471545,430063360,switch,False,False
1780471545440475384,1780471545.440475464,1780471545,440070978,switch,False,False
1780471545450837613,1780471545.450837612,1780471545,450090853,switch,False,False
1780471545460757514,1780471545.460757494,1780471545,460124936,switch,False,False
1780471545470622917,1780471545.470623016,1780471545,470094024,switch,False,False
1780471545480643399,1780471545.480643511,1780471545,480103594,switch,False,False
1780471545490573157,1780471545.490573168,1780471545,490069545,switch,False,False
1780471545500335642,1780471545.500335693,1780471545,500064491,switch,False,False
1780471545510638828,1780471545.510638714,1780471545,510072237,switch,False,False
1780471545520705745,1780471545.520705700,1780471545,520084495,switch,False,False
1780471545530610189,1780471545.530610085,1780471545,530083856,switch,False,False
1780471545540432421,1780471545.540432453,1780471545,540045072,switch,False,False
1780471545550826652,1780471545.550826550,1780471545,550105941,switch,False,False
1780471545561428670,1780471545.561428785,1780471545,560106518,switch,False,False
1780471545570330692,1780471545.570330620,1780471545,570069846,switch,False,False
1780471545580490350,1780471545.580490351,1780471545,580077240,switch,False,False
1780471545590637848,1780471545.590637922,1780471545,590079033,switch,False,False
1780471545600458960,1780471545.600458860,1780471545,600074459,switch,False,False
1780471545612144877,1780471545.612144947,1780471545,611460968,switch,False,False
1780471545620845896,1780471545.620845795,1780471545,620095263,switch,False,False
1780471545630710626,1780471545.630710602,1780471545,630090176,switch,False,False
1780471545641351110,1780471545.641351223,1780471545,640099554,switch,False,False
1780471545650555004,1780471545.650554895,1780471545,650087299,switch,False,False
1780471545661136862,1780471545.661136866,1780471545,660092869,switch,False,False
1780471545672506378,1780471545.672506332,1780471545,670222221,switch,False,False
1780471545680915925,1780471545.680915833,1780471545,680092648,switch,False,False
1780471545690779343,1780471545.690779448,1780471545,690078985,switch,False,False
1780471545700897175,1780471545.700897217,1780471545,700082090,switch,False,False
1780471545711174151,1780471545.711174250,1780471545,710100429,switch,False,False
1780471545720425728,1780471545.720425844,1780471545,720079405,switch,False,False
1780471545730643021,1780471545.730643034,1780471545,730105872,switch,False,False
1780471545740448772,1780471545.740448713,1780471545,740081072,switch,False,False
1780471545750487400,1780471545.750487328,1780471545,750097651,switch,False,False
1780471545760675188,1780471545.760675192,1780471545,760089844,switch,False,False
1780471545770577584,1780471545.770577669,1780471545,770087733,switch,False,False
1780471545780595186,1780471545.780595303,1780471545,780109688,switch,False,False
1780471545790488174,1780471545.790488243,1780471545,790086552,switch,False,False
1780471545800701083,1780471545.800701141,1780471545,800102395,switch,False,False
1780471545811002733,1780471545.811002731,1780471545,810099772,switch,False,False
1780471545820435312,1780471545.820435286,1780471545,820095165,switch,False,False
1780471545830520854,1780471545.830520868,1780471545,830091615,switch,False,False
1780471545840923118,1780471545.840923071,1780471545,840107745,switch,False,False
1780471545850544634,1780471545.850544691,1780471545,850094658,switch,False,False
1780471545861460110,1780471545.861460209,1780471545,860108868,switch,False,False
1780471545870731464,1780471545.870731354,1780471545,870101093,switch,False,False
1780471545880493724,1780471545.880493641,1780471545,880092774,switch,False,False
1780471545890731403,1780471545.890731335,1780471545,890093960,switch,False,False
1780471545900568227,1780471545.900568247,1780471545,900092041,switch,False,False
1780471545910842708,1780471545.910842657,1780471545,910124621,switch,False,False
1780471545920451008,1780471545.920450926,1780471545,920085580,switch,False,False
1780471545930835030,1780471545.930835009,1780471545,930146097,switch,False,False
1780471545940519943,1780471545.940520048,1780471545,940096112,switch,False,False
1780471545950514728,1780471545.950514793,1780471545,950096529,switch,False,False
1780471545961038566,1780471545.961038589,1780471545,960116564,switch,False,False
1780471545970506923,1780471545.970506907,1780471545,970106485,switch,False,False
1780471545980527085,1780471545.980527163,1780471545,980095414,switch,False,False
1780471545990814911,1780471545.990814924,1780471545,990105624,switch,False,False
1780471546000841506,1780471546.000841618,1780471546,106073,switch,False,False
1780471546010599190,1780471546.010599136,1780471546,10120668,switch,False,False
1780471546020604376,1780471546.020604372,1780471546,20102236,switch,False,False
1780471546030914922,1780471546.030915022,1780471546,30113471,switch,False,False
1780471546040694656,1780471546.040694714,1780471546,40092255,switch,False,False
1780471546050529849,1780471546.050529957,1780471546,50110818,switch,False,False
1780471546061037398,1780471546.061037302,1780471546,60136389,switch,False,False
1780471546070572158,1780471546.070572138,1780471546,70097636,switch,False,False
1780471546080551871,1780471546.080551863,1780471546,80106502,switch,False,False
1780471546090667175,1780471546.090667248,1780471546,90095687,switch,False,False
1780471546100641223,1780471546.100641251,1780471546,100125899,switch,False,False
1780471546110676458,1780471546.110676527,1780471546,110160334,switch,False,False
1780471546120720590,1780471546.120720625,1780471546,120127694,switch,False,False
1780471546130523621,1780471546.130523682,1780471546,130116079,switch,False,False
1780471546140869786,1780471546.140869856,1780471546,140118065,switch,False,False
1780471546150437156,1780471546.150437117,1780471546,150105266,switch,False,False
1780471546160914079,1780471546.160914183,1780471546,160122196,switch,False,False
1780471546170503307,1780471546.170503378,1780471546,170125206,switch,False,False
1780471546180564399,1780471546.180564404,1780471546,180105110,switch,False,False
1780471546191014282,1780471546.191014290,1780471546,190136666,switch,False,False
1780471546200700954,1780471546.200700998,1780471546,200112122,switch,False,False
1780471546210726333,1780471546.210726261,1780471546,210120220,switch,False,False
1780471546220437903,1780471546.220438004,1780471546,220104285,switch,False,False
1780471546230847527,1780471546.230847597,1780471546,230118431,switch,False,False
1780471546240870058,1780471546.240869999,1780471546,240197061,switch,False,False
1780471546250513688,1780471546.250513792,1780471546,250114338,switch,False,False
1780471546260927408,1780471546.260927439,1780471546,260118788,switch,False,False
1780471546270689125,1780471546.270689011,1780471546,270105637,switch,False,False
1780471546280944532,1780471546.280944586,1780471546,280151369,switch,False,False
1780471546290489309,1780471546.290489197,1780471546,290125833,switch,False,False
1780471546300774190,1780471546.300774097,1780471546,300137516,switch,False,False
1780471546311629727,1780471546.311629772,1780471546,310166159,switch,False,False
1780471546320891704,1780471546.320891619,1780471546,320190514,switch,False,False
1780471546330488388,1780471546.330488443,1780471546,330145585,switch,False,False
1780471546340580138,1780471546.340580225,1780471546,340109584,switch,False,False
1780471546350662832,1780471546.350662947,1780471546,350146996,switch,False,False
1780471546360851036,1780471546.360851049,1780471546,360128469,switch,False,False
1780471546370894656,1780471546.370894670,1780471546,370135703,switch,False,False
1780471546380793884,1780471546.380793810,1780471546,380143897,switch,False,False
1780471546390677176,1780471546.390677214,1780471546,390148731,switch,False,False
1780471546400621814,1780471546.400621891,1780471546,400117435,switch,False,False
1780471546412828048,1780471546.412827969,1780471546,411109586,switch,False,False
