bag_time_ns,bag_time_sec,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
1780471565611035312,1780471565.611035347,0.3167839827965906,0.0,0.0,0.0,0.0,0.0
1780471565630013535,1780471565.630013466,0.30719386793058345,0.0,0.0,0.0,0.0,0.0
1780471565630472440,1780471565.630472422,0.3072872191849973,0.0,0.0,0.0,0.0,0.0
1780471565649956962,1780471565.649956942,0.2979893420292225,0.0,0.0,0.0,0.0,0.0
1780471565650689642,1780471565.650689602,0.298057420558384,0.0,0.0,0.0,0.0,0.0
1780471565669965097,1780471565.669965029,0.2889843454728743,0.0,0.0,0.0,0.0,0.0
1780471565670620077,1780471565.670619965,0.2890431587702604,0.0,0.0,0.0,0.0,0.0
1780471565690005265,1780471565.690005302,0.27975791311664083,0.0,0.0,0.0,0.0,0.0
1780471565690709816,1780471565.690709829,0.2797909130834215,0.0,0.0,0.0,0.0,0.0
1780471565710065915,1780471565.710065842,0.26974237311664084,0.0,0.0,0.0,0.0,0.0
1780471565710681405,1780471565.710681438,0.2697884615834215,0.0,0.0,0.0,0.0,0.0
1780471565730254412,1780471565.730254412,0.2597300491166408,0.0,0.0,0.0,0.0,0.0
1780471565730630784,1780471565.730630875,0.2597799940834215,0.0,0.0,0.0,0.0,0.0
1780471565750221008,1780471565.750221014,0.24974113461664083,0.0,0.0,0.0,0.0,0.0
1780471565750602533,1780471565.750602484,0.2497879270834215,0.0,0.0,0.0,0.0,0.0
1780471565769986090,1780471565.769986153,0.23976599661664083,0.0,0.0,0.0,0.0,0.0
1780471565770527495,1780471565.770527601,0.2398064370834215,0.0,0.0,0.0,0.0,0.0
1780471565789958799,1780471565.789958715,0.22976669761664084,0.0,0.0,0.0,0.0,0.0
1780471565790522317,1780471565.790522337,0.2298023535834215,0.0,0.0,0.0,0.0,0.0
1780471565810220419,1780471565.810220480,0.21974816561664084,0.0,0.0,0.0,0.0,0.0
1780471565811018959,1780471565.811018944,0.2197895020834215,0.0,0.0,0.0,0.0,0.0
1780471565829992989,1780471565.829993010,0.20976870761664085,0.0,0.0,0.0,0.0,0.0
1780471565830628544,1780471565.830628633,0.2097907145834215,0.0,0.0,0.0,0.0,0.0
1780471565850059143,1780471565.850059032,0.19974756711664085,0.0,0.0,0.0,0.0,0.0
1780471565850533793,1780471565.850533724,0.1997963600834215,0.0,0.0,0.0,0.0,0.0
1780471565869977705,1780471565.869977713,0.1919026111514181,0.0,0.0,0.0,0.0,0.0
1780471565870541864,1780471565.870541811,0.19188316554543827,0.0,0.0,0.0,0.0,0.0
1780471565890006001,1780471565.890006065,0.1838307546419209,0.0,0.0,0.0,0.0,0.0
1780471565890506252,1780471565.890506268,0.1838103548580141,0.0,0.0,0.0,0.0,0.0
1780471565909971093,1780471565.909970999,0.17559842591222152,0.0,0.0,0.0,0.0,0.0
1780471565911013614,1780471565.911013603,0.17538409863161247,0.0,0.0,0.0,0.0,0.0
1780471565929975740,1780471565.929975748,0.16793775431466335,0.0,0.0,0.0,0.0,0.0
1780471565930488216,1780471565.930488110,0.16789428800628425,0.0,0.0,0.0,0.0,0.0
1780471565949997635,1780471565.949997663,0.16195353744004304,0.0,0.0,0.0,0.0,0.0
1780471565950598436,1780471565.950598478,0.16189876069575793,0.0,0.0,0.0,0.0,0.0
1780471565969939239,1780471565.969939232,0.15785877304789997,0.0,0.0,0.0,0.0,0.0
1780471565970515814,1780471565.970515728,0.15779757890896728,0.0,0.0,0.0,0.0,0.0
1780471565990004272,1780471565.990004301,0.15522025800433564,0.0,0.0,0.0,0.0,0.0
1780471565990540814,1780471565.990540743,0.15515428709604273,0.0,0.0,0.0,0.0,0.0
1780471566009962997,1780471566.009963036,0.15302862806041584,0.0,0.0,0.0,0.0,0.0
1780471566010575350,1780471566.010575294,0.15296070025730252,0.0,0.0,0.0,0.0,0.0
1780471566030091234,1780471566.030091286,0.1510402444542523,0.0,0.0,0.0,0.0,0.0
1780471566030750630,1780471566.030750513,0.15097138981485453,0.0,0.0,0.0,0.0,0.0
1780471566050028549,1780471566.050028563,0.14884455726548218,0.0,0.0,0.0,0.0,0.0
1780471566050723467,1780471566.050723553,0.14877426953897882,0.0,0.0,0.0,0.0,0.0
1780471566069965480,1780471566.069965363,0.1464099018907899,0.0,0.0,0.0,0.0,0.0
1780471566070622700,1780471566.070622683,0.14634085530594776,0.0,0.0,0.0,0.0,0.0
1780471566089995920,1780471566.089995861,0.14446331574264903,0.0,0.0,0.0,0.0,0.0
1780471566090653748,1780471566.090653658,0.14439297312807153,0.0,0.0,0.0,0.0,0.0
1780471566110032473,1780471566.110032558,0.14384722298656638,0.0,0.0,0.0,0.0,0.0
1780471566110587287,1780471566.110587358,0.14377843010712238,0.0,0.0,0.0,0.0,0.0
1780471566130085794,1780471566.130085707,0.144434838827378,0.0,0.0,0.0,0.0,0.0
1780471566130544795,1780471566.130544901,0.14436783340034376,0.0,0.0,0.0,0.0,0.0
1780471566150018469,1780471566.150018454,0.1460093284196865,0.0,0.0,0.0,0.0,0.0
1780471566150684842,1780471566.150684834,0.1459461615379516,0.0,0.0,0.0,0.0,0.0
1780471566170061966,1780471566.170062065,0.14783502340210974,0.0,0.0,0.0,0.0,0.0
1780471566171070981,1780471566.171071053,0.147805376786582,0.0,0.0,0.0,0.0,0.0
1780471566190042227,1780471566.190042257,0.14925191698757517,0.0,0.0,0.0,0.0,0.0
1780471566190501324,1780471566.190501213,0.149207868879423,0.0,0.0,0.0,0.0,0.0
1780471566210075644,1780471566.210075617,0.14989103073256022,0.0,0.0,0.0,0.0,0.0
1780471566210565622,1780471566.210565567,0.1498556137195146,0.0,0.0,0.0,0.0,0.0
1780471566230051969,1780471566.230051994,0.1516069346547712,0.0,0.0,0.0,0.0,0.0
1780471566230547868,1780471566.230547905,0.15157956542639633,0.0,0.0,0.0,0.0,0.0
1780471566250101578,1780471566.250101566,0.15279551185907453,0.0,0.0,0.0,0.0,0.0
1780471566250593637,1780471566.250593662,0.15277411737535812,0.0,0.0,0.0,0.0,0.0
1780471566270090512,1780471566.270090580,0.15475397755006176,0.0,0.0,0.0,0.0,0.0
1780471566270625709,1780471566.270625591,0.15473486505254874,0.0,0.0,0.0,0.0,0.0
1780471566290050036,1780471566.290050030,0.15759428168079737,0.0,0.0,0.0,0.0,0.0
1780471566290558704,1780471566.290558815,0.15758000933619648,0.0,0.0,0.0,0.0,0.0
1780471566310049403,1780471566.310049295,0.16097557183279199,0.0,0.0,0.0,0.0,0.0
1780471566310609305,1780471566.310609341,0.16097939136074224,0.0,0.0,0.0,0.0,0.0
1780471566330071234,1780471566.330071211,0.16453049691344618,0.0,0.0,0.0,0.0,0.0
1780471566330545820,1780471566.330545902,0.1645194796083309,0.0,0.0,0.0,0.0,0.0
1780471566349979332,1780471566.349979401,0.16796096046561865,0.0,0.0,0.0,0.0,0.0
1780471566350512961,1780471566.350512981,0.1679543843787592,0.0,0.0,0.0,0.0,0.0
1780471566369943432,1780471566.369943380,0.1706031065044446,0.0,0.0,0.0,0.0,0.0
1780471566370608333,1780471566.370608330,0.17060136961744243,0.0,0.0,0.0,0.0,0.0
1780471566390000114,1780471566.390000105,0.17197988391310326,0.0,0.0,0.0,0.0,0.0
1780471566390577874,1780471566.390577793,0.1719795406679397,0.0,0.0,0.0,0.0,0.0
1780471566410100158,1780471566.410100222,0.17348394390694583,0.0,0.0,0.0,0.0,0.0
1780471566410734369,1780471566.410734415,0.17348560165758586,0.0,0.0,0.0,0.0,0.0
1780471566430090500,1780471566.430090427,0.17578127810952687,0.0,0.0,0.0,0.0,0.0
1780471566430573246,1780471566.430573225,0.1757790665989425,0.0,0.0,0.0,0.0,0.0
1780471566450027143,1780471566.450027227,0.1790589184089898,0.0,0.0,0.0,0.0,0.0
1780471566450525378,1780471566.450525284,0.17905770607024102,0.0,0.0,0.0,0.0,0.0
1780471566470034222,1780471566.470034122,0.18332559457344094,0.0,0.0,0.0,0.0,0.0
1780471566470518568,1780471566.470518589,0.18332684425610746,0.0,0.0,0.0,0.0,0.0
1780471566489945775,1780471566.489945889,0.18853945795220917,0.0,0.0,0.0,0.0,0.0
1780471566490583730,1780471566.490583658,0.18854396010552843,0.0,0.0,0.0,0.0,0.0
1780471566510119327,1780471566.510119438,0.19434424260529376,0.0,0.0,0.0,0.0,0.0
1780471566510593785,1780471566.510593891,0.1943437815611188,0.0,0.0,0.0,0.0,0.0
1780471566530157512,1780471566.530157566,0.2004391168165694,0.0,0.0,0.0,0.0,0.0
1780471566530596544,1780471566.530596495,0.20044662378127465,0.0,0.0,0.0,0.0,0.0
1780471566550002918,1780471566.550002813,0.20649495135987256,0.0,0.0,0.0,0.0,0.0
1780471566550510434,1780471566.550510406,0.2064989378001268,0.0,0.0,0.0,0.0,0.0
1780471566569989708,1780471566.569989681,0.21284091474615763,0.0,0.0,0.0,0.0,0.0
1780471566570581420,1780471566.570581436,0.21284562171844457,0.0,0.0,0.0,0.0,0.0
1780471566589999155,1780471566.589999199,0.21926356984760975,0.0,0.0,0.0,0.0,0.0
1780471566590622357,1780471566.590622425,0.21926482279443954,0.0,0.0,0.0,0.0,0.0
1780471566610128064,1780471566.610128164,0.2263359876716397,0.0,0.0,0.0,0.0,0.0
1780471566611081045,1780471566.611081123,0.22646109151300725,0.0,0.0,0.0,0.0,0.0
1780471566630198507,1780471566.630198479,0.23404708128052287,0.0,0.0,0.0,0.0,0.0
1780471566630607553,1780471566.630607605,0.23403295432327909,0.0,0.0,0.0,0.0,0.0
1780471566650040681,1780471566.650040627,0.24196464468108692,0.0,0.0,0.0,0.0,0.0
1780471566650610760,1780471566.650610685,0.2419616204001777,0.0,0.0,0.0,0.0,0.0
1780471566670039983,1780471566.670039892,0.24945704377143602,0.0,0.0,0.0,0.0,0.0
1780471566670602510,1780471566.670602560,0.24945138471860362,0.0,0.0,0.0,0.0,0.0
1780471566690011796,1780471566.690011740,0.2563524009636339,0.0,0.0,0.0,0.0,0.0
1780471566690858722,1780471566.690858841,0.2563304210314875,0.0,0.0,0.0,0.0,0.0
1780471566710305099,1780471566.710305214,0.26300055683721335,0.0,0.0,0.0,0.0,0.0
1780471566710606203,1780471566.710606098,0.262997161536737,0.0,0.0,0.0,0.0,0.0
1780471566730385621,1780471566.730385542,0.26979012126315205,0.0,0.0,0.0,0.0,0.0
1780471566731093980,1780471566.731093884,0.26979485594204555,0.0,0.0,0.0,0.0,0.0
1780471566750992797,1780471566.750992775,0.2768879855432511,0.0,0.0,0.0,0.0,0.0
1780471566751090467,1780471566.751090527,0.2768743817960787,0.0,0.0,0.0,0.0,0.0
1780471566770228250,1780471566.770228148,0.28446841697150294,0.0,0.0,0.0,0.0,0.0
1780471566770671986,1780471566.770672083,0.28445799108528536,0.0,0.0,0.0,0.0,0.0
1780471566790160317,1780471566.790160418,0.2921824504207356,0.0,0.0,0.0,0.0,0.0
1780471566790634999,1780471566.790635109,0.29216980749752874,0.0,0.0,0.0,0.0,0.0
1780471566810118689,1780471566.810118675,0.29962000602596517,0.0,0.0,0.0,0.0,0.0
1780471566810692288,1780471566.810692310,0.2996017265717038,0.0,0.0,0.0,0.0,0.0
1780471566830069477,1780471566.830069542,0.3064638787013989,0.0,0.0,0.0,0.0,0.0
1780471566830741481,1780471566.830741405,0.3064477667835128,0.0,0.0,0.0,0.0,0.0
1780471566850348986,1780471566.850348949,0.3128254923946975,0.0,0.0,0.0,0.0,0.0
1780471566851052385,1780471566.851052284,0.3127552231342875,0.0,0.0,0.0,0.0,0.0
1780471566870203417,1780471566.870203495,0.31900899196043964,0.0,0.0,0.0,0.0,0.0
1780471566870828059,1780471566.870828152,0.3190683857700528,0.0,0.0,0.0,0.0,0.0
1780471566890060536,1780471566.890060425,0.32509079638076976,0.0,0.0,0.0,0.0,0.0
1780471566891018476,1780471566.891018391,0.3252428960803283,0.0,0.0,0.0,0.0,0.0
1780471566910025276,1780471566.910025358,0.33130828009129987,0.0,0.0,0.0,0.0,0.0
1780471566910694529,1780471566.910694599,0.3313527165701494,0.0,0.0,0.0,0.0,0.0
1780471566930026915,1780471566.930027008,0.33760289510091523,0.0,0.0,0.0,0.0,0.0
1780471566930756875,1780471566.930756807,0.33761777665820514,0.0,0.0,0.0,0.0,0.0
1780471566949992487,1780471566.949992418,0.34379837559721493,0.0,0.0,0.0,0.0,0.0
1780471566950621034,1780471566.950621128,0.34378847233943877,0.0,0.0,0.0,0.0,0.0
1780471566970113652,1780471566.970113754,0.34971081621931815,0.0,0.0,0.0,0.0,0.0
1780471566970845981,1780471566.970845938,0.3497032302071168,0.0,0.0,0.0,0.0,0.0
1780471566990229793,1780471566.990229845,0.35502541688391953,0.0,0.0,0.0,0.0,0.0
1780471566990773055,1780471566.990772963,0.35500937280762423,0.0,0.0,0.0,0.0,0.0
1780471567010096129,1780471567.010096073,0.3591161391694614,0.0,0.0,0.0,0.0,0.0
1780471567010677920,1780471567.010677814,0.35910023761568444,0.0,0.0,0.0,0.0,0.0
1780471567030281873,1780471567.030281782,0.36340727210108326,0.0,0.0,0.0,0.0,0.0
1780471567030577186,1780471567.030577183,0.36339378350244644,0.0,0.0,0.0,0.0,0.0
1780471567049992648,1780471567.049992561,0.3672403927818667,0.0,0.0,0.0,0.0,0.0
1780471567050609066,1780471567.050609112,0.3672281532417998,0.0,0.0,0.0,0.0,0.0
1780471567070042578,1780471567.070042610,0.37143994968339866,0.0,0.0,0.0,0.0,0.0
1780471567070649427,1780471567.070649385,0.3714291283145775,0.0,0.0,0.0,0.0,0.0
1780471567090035768,1780471567.090035677,0.3757975022340216,0.0,0.0,0.0,0.0,0.0
1780471567090603639,1780471567.090603590,0.3757855907827692,0.0,0.0,0.0,0.0,0.0
1780471567110120099,1780471567.110120058,0.38031705283445305,0.0,0.0,0.0,0.0,0.0
1780471567110677538,1780471567.110677481,0.38031326887740063,0.0,0.0,0.0,0.0,0.0
1780471567130140619,1780471567.130140543,0.3847685516651075,0.0,0.0,0.0,0.0,0.0
1780471567130626342,1780471567.130626440,0.3847608872631188,0.0,0.0,0.0,0.0,0.0
1780471567150084142,1780471567.150084257,0.38881766730910006,0.0,0.0,0.0,0.0,0.0
1780471567150579978,1780471567.150579929,0.38880405434442844,0.0,0.0,0.0,0.0,0.0
1780471567170104086,1780471567.170104027,0.3921889068824643,0.0,0.0,0.0,0.0,0.0
1780471567170888097,1780471567.170888186,0.3921973274625059,0.0,0.0,0.0,0.0,0.0
1780471567190188610,1780471567.190188646,0.3954079265720592,0.0,0.0,0.0,0.0,0.0
1780471567190582999,1780471567.190582991,0.39539080810468386,0.0,0.0,0.0,0.0,0.0
1780471567210331280,1780471567.210331202,0.39947403661670305,0.0,0.0,0.0,0.0,0.0
1780471567210783689,1780471567.210783720,0.3994616406578704,0.0,0.0,0.0,0.0,0.0
1780471567230097354,1780471567.230097294,0.40369737213969564,0.0,0.0,0.0,0.0,0.0
1780471567230778031,1780471567.230777979,0.40368435836674565,0.0,0.0,0.0,0.0,0.0
1780471567250198230,1780471567.250198126,0.4083937510043395,0.0,0.0,0.0,0.0,0.0
1780471567251053989,1780471567.251054049,0.4084024823340497,0.0,0.0,0.0,0.0,0.0
1780471567270544720,1780471567.270544767,0.41321301486087303,0.0,0.0,0.0,0.0,0.0
1780471567271089933,1780471567.271090031,0.41319026093689715,0.0,0.0,0.0,0.0,0.0
1780471567290112831,1780471567.290112734,0.41742149157415376,0.0,0.0,0.0,0.0,0.0
1780471567290955949,1780471567.290956020,0.4174399795145699,0.0,0.0,0.0,0.0,0.0
1780471567310124038,1780471567.310123920,0.42077362191637396,0.0,0.0,0.0,0.0,0.0
1780471567310580159,1780471567.310580254,0.420765403605203,0.0,0.0,0.0,0.0,0.0
1780471567330025735,1780471567.330025673,0.4228511520860714,0.0,0.0,0.0,0.0,0.0
1780471567330601479,1780471567.330601454,0.422846977546951,0.0,0.0,0.0,0.0,0.0
1780471567350081169,1780471567.350081205,0.4246875784076786,0.0,0.0,0.0,0.0,0.0
1780471567350664049,1780471567.350664139,0.42468234642453456,0.0,0.0,0.0,0.0,0.0
1780471567370017428,1780471567.370017529,0.4269800085210331,0.0,0.0,0.0,0.0,0.0
1780471567370601396,1780471567.370601416,0.42697919866390294,0.0,0.0,0.0,0.0,0.0
1780471567390273449,1780471567.390273333,0.42933706463679155,0.0,0.0,0.0,0.0,0.0
1780471567390609531,1780471567.390609503,0.4293343600073115,0.0,0.0,0.0,0.0,0.0
1780471567410011937,1780471567.410012007,0.4322861423979857,0.0,0.0,0.0,0.0,0.0
1780471567410576160,1780471567.410576105,0.4322853473974956,0.0,0.0,0.0,0.0,0.0
1780471567430058090,1780471567.430058002,0.43540176525813945,0.0,0.0,0.0,0.0,0.0
1780471567430697517,1780471567.430697441,0.4354011235844138,0.0,0.0,0.0,0.0,0.0
1780471567450086290,1780471567.450086355,0.43835736089903327,0.0,0.0,0.0,0.0,0.0
1780471567450574029,1780471567.450573921,0.4383568540069013,0.0,0.0,0.0,0.0,0.0
1780471567473573464,1780471567.473573446,0.44081461991504606,0.0,0.0,0.0,0.0,0.0
1780471567473713856,1780471567.473713875,0.44081640334059274,0.0,0.0,0.0,0.0,0.0
1780471567490180805,1780471567.490180731,0.44237994223759547,0.0,0.0,0.0,0.0,0.0
