bag_time_ns,bag_time_sec,data
1780471682628094690,1780471682.628094673,True
1780471682638022249,1780471682.638022184,True
1780471682647999410,1780471682.647999525,True
1780471682658123556,1780471682.658123493,True
1780471682668009768,1780471682.668009758,True
1780471682678158715,1780471682.678158760,True
1780471682687887574,1780471682.687887669,True
1780471682698007719,1780471682.698007822,True
1780471682707995057,1780471682.707994938,True
1780471682718042494,1780471682.718042612,True
1780471682728088620,1780471682.728088617,True
1780471682737981968,1780471682.737982035,True
1780471682748119362,1780471682.748119354,True
1780471682758063978,1780471682.758064032,True
1780471682767941358,1780471682.767941475,True
1780471682777975130,1780471682.777975082,True
1780471682787980549,1780471682.787980556,True
1780471682798256287,1780471682.798256397,True
1780471682807992059,1780471682.807991982,True
1780471682818083658,1780471682.818083763,True
1780471682827963118,1780471682.827963114,True
1780471682837950936,1780471682.837950945,True
1780471682847995461,1780471682.847995520,True
1780471682858010801,1780471682.858010769,True
1780471682868127490,1780471682.868127584,True
1780471682878086314,1780471682.878086329,True
1780471682888198139,1780471682.888198137,True
1780471682898060734,1780471682.898060799,True
1780471682908186831,1780471682.908186913,True
1780471682918005232,1780471682.918005228,True
1780471682928073086,1780471682.928073168,True
1780471682938279572,1780471682.938279629,True
1780471682948030225,1780471682.948030233,True
1780471682958320203,1780471682.958320141,True
1780471682968088457,1780471682.968088388,True
1780471682978171800,1780471682.978171825,True
1780471682988035707,1780471682.988035679,True
1780471682998103082,1780471682.998103142,True
1780471683008245916,1780471683.008245945,True
1780471683018172131,1780471683.018172026,True
1780471683028120138,1780471683.028120041,True
1780471683038142006,1780471683.038141966,True
1780471683047973752,1780471683.047973633,True
1780471683058224624,1780471683.058224678,True
1780471683067976973,1780471683.067976952,True
1780471683078289993,1780471683.078289986,True
1780471683088082632,1780471683.088082552,True
1780471683098186392,1780471683.098186493,True
1780471683108098366,1780471683.108098269,True
1780471683118192046,1780471683.118191957,True
1780471683128083891,1780471683.128083944,True
1780471683138161857,1780471683.138161898,True
1780471683148271794,1780471683.148271799,True
1780471683158139669,1780471683.158139706,True
1780471683168129888,1780471683.168129921,True
1780471683178149035,1780471683.178148985,True
1780471683188064113,1780471683.188064098,True
1780471683198126655,1780471683.198126554,True
1780471683207946304,1780471683.207946301,True
1780471683218238875,1780471683.218238831,True
1780471683228013113,1780471683.228013039,True
1780471683238137866,1780471683.238137960,True
1780471683248123124,1780471683.248123169,True
1780471683258070524,1780471683.258070469,True
1780471683268109673,1780471683.268109560,True
1780471683278114804,1780471683.278114796,True
1780471683288095485,1780471683.288095474,True
1780471683298123689,1780471683.298123598,True
1780471683308288061,1780471683.308288097,True
1780471683318126079,1780471683.318125963,True
1780471683328109736,1780471683.328109741,True
1780471683338157942,1780471683.338157892,True
1780471683348033561,1780471683.348033667,True
1780471683358359094,1780471683.358359098,True
1780471683368062064,1780471683.368062019,True
1780471683378141183,1780471683.378141165,True
1780471683387967232,1780471683.387967348,True
1780471683398089201,1780471683.398089170,True
1780471683407984022,1780471683.407984018,True
1780471683418124137,1780471683.418124199,True
1780471683427996396,1780471683.427996397,True
1780471683438068507,1780471683.438068390,True
1780471683448152490,1780471683.448152542,True
1780471683458032590,1780471683.458032608,True
1780471683468201218,1780471683.468201160,True
1780471683478095271,1780471683.478095293,True
1780471683488989859,1780471683.488989830,True
1780471683498058138,1780471683.498058081,True
1780471683507965119,1780471683.507965088,True
1780471683518200535,1780471683.518200636,True
1780471683528002167,1780471683.528002262,True
1780471683538112135,1780471683.538112164,True
1780471683548129011,1780471683.548129082,True
1780471683558154623,1780471683.558154583,True
1780471683567985280,1780471683.567985296,True
1780471683578060751,1780471683.578060865,True
1780471683588149310,1780471683.588149309,True
1780471683598113767,1780471683.598113775,True
1780471683608147284,1780471683.608147383,True
1780471683618088347,1780471683.618088245,True
1780471683628101350,1780471683.628101349,True
1780471683638041198,1780471683.638041258,True
1780471683648171711,1780471683.648171663,True
1780471683658184395,1780471683.658184290,True
1780471683668002571,1780471683.668002605,True
1780471683678215714,1780471683.678215742,True
1780471683688052099,1780471683.688052177,True
1780471683698310396,1780471683.698310375,True
1780471683708077530,1780471683.708077431,True
1780471683718155049,1780471683.718155146,True
1780471683728293819,1780471683.728293896,True
1780471683738211489,1780471683.738211393,True
1780471683748175114,1780471683.748175144,True
1780471683758341918,1780471683.758342028,True
1780471683768164766,1780471683.768164873,True
1780471683778324498,1780471683.778324604,True
1780471683788113649,1780471683.788113594,True
1780471683798317319,1780471683.798317432,True
1780471683808091045,1780471683.808091164,True
1780471683818311100,1780471683.818311214,True
1780471683828127548,1780471683.828127623,True
1780471683838372500,1780471683.838372469,True
1780471683848222647,1780471683.848222733,True
1780471683858223745,1780471683.858223677,True
1780471683868100485,1780471683.868100405,True
1780471683878119889,1780471683.878119946,True
1780471683888244770,1780471683.888244867,True
1780471683898144871,1780471683.898144960,True
